identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
17059A,CORBEIL LES TARTERETS BP,Bureau de Poste,,30 AVENUE SERGE DASSAULT,QUARTIER DES TARTERETS,,91100,CORBEIL ESSONNES,91174,FRANCE,48.614895,2.462931,3631
17060A,BOUSSY SAINT ANTOINE BP,Bureau de Poste,,CENTRE COMMERCIAL LA FERME,,,91800,BOUSSY ST ANTOINE,91097,FRANCE,48.690494,2.528635,3631
17061A,DRAVEIL LES MOUSSEAUX AP,Agence postale communale,16943A,AVENUE DE SULLY,,,91210,DRAVEIL,91201,FRANCE,48.692998,2.412151,3631
17061D,VIELLE ST GIRONS BURALISTE RP,Relais poste,07642A,3198 ROUTE DES LACS,BURALISTE LE MARENSIN,,40560,VIELLE ST GIRONS,40326,FRANCE,43.95,-1.302,3631
17062D,VILLEDAIGNE LPAC AP,Agence postale communale,01606A,2 RUE DE LA MAIRIE,,,11200,VILLEDAIGNE,11421,FRANCE,43.2153,2.8618,3631
17063A,ANTONY AUGUSTE MOUNIE,Bureau de Poste,,32 RUE AUGUSTE MOUNIE,,,92160,ANTONY,92002,FRANCE,48.753896,2.30265,3631
17064A,ASNIERES HOTEL DE VILLE,Bureau de Poste,,PLACE ARISTIDE BRIAND,,,92600,ASNIERES SUR SEINE,92004,FRANCE,48.910492,2.287917,3631
17066A,BOIS COLOMBES BP,Bureau de Poste,,65 RUE DU GENERAL LECLERC,,,92270,BOIS COLOMBES,92009,FRANCE,48.916,2.268017,3631
17067A,BOULOGNE BILLANCOURT PRINCIPAL BP,Bureau de Poste,,231 ALLEE DU FORUM,,,92100,BOULOGNE BILLANCOURT,92012,FRANCE,48.828698,2.232808,3631
17068A,BOURG LA REINE BP,Bureau de Poste,,79 AVENUE DU GENERAL LECLERC,,,92340,BOURG LA REINE,92014,FRANCE,48.781238,2.316176,3631
17068D,LPAC SOUCIEU EN JARREST AP,Agence postale communale,12943A,5 RUE MICKY BARANGE,IMMEUBLE LES BISTANCLAQUES,,69510,SOUCIEU EN JARREST,69176,FRANCE,45.6789,4.7009,3631
17069A,NANTERRE LES MUGUETS BP,Bureau de Poste,,11 PLACE DES MUGUETS,,,92000,NANTERRE,92050,FRANCE,48.910711,2.220679,3631
17069D,SAINT GERMAIN LAVAL AP,Agence postale communale,07868A,28 RUE ROBERT LUGNIER,,,42260,ST GERMAIN LAVAL,42230,FRANCE,45.8294,4.0112,3631
17070A,CHATENAY MALABRY PRINCIPAL BP,Bureau de Poste,,78 RUE JEAN LONGUET,,,92290,CHATENAY MALABRY,92019,FRANCE,48.7676,2.2796,3631
17070D,CAEN CARREFOUR CITY SARL MICODIS RP,Relais poste,02237A,22 RUE DE LA DEFENSE PASSIVE,,,14000,CAEN,14118,FRANCE,49.1989,-0.3653,3631
17071A,CHATILLON,Bureau de Poste,,12 BOULEVARD DE VANVES,,,92320,CHATILLON,92020,FRANCE,48.804493,2.287988,3631
17072A,CHAVILLE BP,Bureau de Poste,,1332 AVENUE ROGER SALENGRO,,,92370,CHAVILLE,92022,FRANCE,48.810132,2.190231,3631
17073A,CLAMART CENTRE,Bureau de Poste,,38 RUE DE MEUDON,,,92140,CLAMART,92023,FRANCE,48.802252,2.258733,3631
17074A,CLICHY HOTEL DE VILLE,Bureau de Poste,,81 BOULEVARD JEAN JAURES,,,92110,CLICHY,92024,FRANCE,48.902193,2.304311,3631
17075A,COLOMBES,Bureau de Poste,,40 RUE JULIEN GALLE,,,92700,COLOMBES,92025,FRANCE,48.922798,2.259307,3631
17076A,COURBEVOIE ARISTIDE BRIAND,Bureau de Poste,,14 BOULEVARD ARISTIDE BRIAND,,,92400,COURBEVOIE,92026,FRANCE,48.899296,2.257925,3631
17077A,FONTENAY AUX ROSES BP,Bureau de Poste,,99 RUE BOUCICAUT,,,92260,FONTENAY AUX ROSES,92032,FRANCE,48.792197,2.285077,3631
17078A,GARCHES BP,Bureau de Poste,,106 GRANDE RUE,,,92380,GARCHES,92033,FRANCE,48.844136,2.185388,3631
17079A,LA GARENNE COLOMBES REPUBLIQUE,Bureau de Poste,,56 BIS RUE SARTORIS,,,92250,LA GARENNE COLOMBES,92035,FRANCE,48.9077,2.2466,3631
17080A,GENNEVILLIERS CENTRE,Bureau de Poste,,23 AVENUE DE LA LIBERATION,CENTRE ADMINISTRATIF ET COMMERCIAL,,92230,GENNEVILLIERS,92036,FRANCE,48.924792,2.293059,3631
17081A,ISSY CENTRE,Bureau de Poste,,26 AVENUE VICTOR CRESSON,,,92130,ISSY LES MOULINEAUX,92040,FRANCE,48.823197,2.269747,3631
17082A,BOULOGNE REINE BP,Bureau de Poste,,79 B ROUTE DE LA REINE,,,92100,BOULOGNE BILLANCOURT,92012,FRANCE,48.8396,2.2395,3631
17083A,LEVALLOIS PERRET PRINCIPAL,Bureau de Poste,,18 RUE PAUL VAILLANT COUTURIER,LA POSTE LEVALLOIS,,92300,LEVALLOIS PERRET,92044,FRANCE,48.8949,2.281,3631
